length_years,start,valued_at,contributions,strategy_xirr,index_xirr,spread
15,1979-04-01,1994-03-31,60,0.10123953449395529,0.14319599144795597,-0.04195645695400069
15,1979-07-01,1994-06-30,60,0.1085108948463463,0.13952474420727048,-0.03101384936092419
15,1979-10-01,1994-09-30,60,0.11099447569698362,0.14077145536574212,-0.029776979668758502
15,1980-01-01,1994-12-31,60,0.10876761509651851,0.13665905624273883,-0.027891441146220317
15,1980-04-01,1995-03-31,60,0.11617047401125966,0.1431979396337499,-0.027027465622490254
15,1980-07-01,1995-06-30,60,0.11981489315220291,0.14904853038237514,-0.029233637230172235
15,1980-10-01,1995-09-30,60,0.12300598524000046,0.15359177682857283,-0.030585791588572372
15,1981-01-01,1995-12-31,60,0.11782550098382763,0.156402857098873,-0.03857735611504537
15,1981-04-01,1996-03-31,60,0.11849768742851163,0.15872692170476424,-0.04022923427625261
15,1981-07-01,1996-06-30,60,0.10648919629104034,0.1600225365395301,-0.05353334024848977
15,1981-10-01,1996-09-30,60,0.1028556405222015,0.15941817900427768,-0.05656253848207618
15,1982-01-01,1996-12-31,60,0.1106356699291465,0.1638368726738113,-0.053201202744664805
15,1982-04-01,1997-03-31,60,0.09954643200498461,0.16233145939147797,-0.06278502738649336
15,1982-07-01,1997-06-30,60,0.11576050959331795,0.17549505969969081,-0.059734550106372866
15,1982-10-01,1997-09-30,60,0.11728806725883277,0.1780378520410801,-0.06074978478224734
15,1983-01-01,1997-12-31,60,0.10881030102012781,0.17608252477075628,-0.06727222375062847
15,1983-04-01,1998-03-31,60,0.11457930960214781,0.18637562420529022,-0.07179631460314241
15,1983-07-01,1998-06-30,60,0.1216221274916848,0.18577721221903684,-0.06415508472735204
15,1983-10-01,1998-09-30,60,0.12222480214239709,0.16993387125197992,-0.047709069109582836
15,1984-01-01,1998-12-31,60,0.15141731151853083,0.18765208213492138,-0.03623477061639055
15,1984-04-01,1999-03-31,60,0.14974445681456944,0.18891221958631782,-0.03916776277174838
15,1984-07-01,1999-06-30,60,0.17283696769565918,0.19200093125131804,-0.01916396355565886
15,1984-10-01,1999-09-30,60,0.16680045750870023,0.17971832994780898,-0.012917872439108746
15,1985-01-01,1999-12-31,60,0.17001928985524903,0.19061131308157847,-0.020592023226329442
15,1985-04-01,2000-03-31,60,0.17240725476660002,0.18835165431283898,-0.01594439954623897
15,1985-07-01,2000-06-30,60,0.1657334995653988,0.18075724128371137,-0.015023741718312583
15,1985-10-01,2000-09-30,60,0.17078480133535026,0.17521710553817352,-0.004432304202823256
15,1986-01-01,2000-12-31,60,0.14708263370014288,0.16120301893520403,-0.01412038523506115
15,1986-04-01,2001-03-31,60,0.14416509994711557,0.14265271277834493,0.0015123871687706403
15,1986-07-01,2001-06-30,60,0.15933324685073602,0.14541737967964558,0.013915867171090446
15,1986-10-01,2001-09-30,60,0.13371100219377088,0.1235177877629166,0.010193214430854289
15,1987-01-01,2001-12-31,60,0.1477017492547349,0.13128881330847428,0.016412935946260615
15,1987-04-01,2002-03-31,60,0.13867947382238097,0.1277284430197858,0.010951030802595157
15,1987-07-01,2002-06-30,60,0.11037146396033161,0.10778802887301871,0.002583435087312902
15,1987-10-01,2002-09-30,60,0.0860752999407479,0.08229231903643192,0.0037829809043159884
15,1988-01-01,2002-12-31,60,0.09833495316683077,0.08918544233808168,0.009149510828749097
15,1988-04-01,2003-03-31,60,0.09810305276689012,0.08136335191028667,0.01673970085660345
15,1988-07-01,2003-06-30,60,0.10444072752882294,0.09451416038371165,0.009926567145111295
15,1988-10-01,2003-09-30,60,0.10783611101380033,0.09375596050575564,0.01408015050804469
15,1989-01-01,2003-12-31,60,0.11272597473097858,0.1033371719247225,0.009388802806256077
15,1989-04-01,2004-03-31,60,0.10983242142297561,0.10133131298458985,0.008501108438385765
15,1989-07-01,2004-06-30,60,0.11328870431480088,0.09953397530161222,0.013754729013188666
15,1989-10-01,2004-09-30,60,0.11629795419391871,0.09373628733242458,0.022561666861494134
15,1990-01-01,2004-12-31,60,0.12374808849092467,0.1009018545137688,0.022846233977155864
15,1990-04-01,2005-03-31,60,0.12428988606329965,0.09509476459265466,0.029195121470644986
15,1990-07-01,2005-06-30,60,0.11757542780445719,0.09320853016747212,0.024366897636985074
15,1990-10-01,2005-09-30,60,0.11987042374480829,0.09401724141268576,0.025853182332122526
15,1991-01-01,2005-12-31,60,0.11263658540765933,0.09238424578541031,0.020252339622249024
15,1991-04-01,2006-03-31,60,0.11458081096574617,0.09336522616411662,0.02121558480162955
15,1991-07-01,2006-06-30,60,0.10654206381832859,0.08814514086583376,0.01839692295249483
15,1991-10-01,2006-09-30,60,0.1122143487149746,0.09117725714390831,0.021037091571066285
15,1992-01-01,2006-12-31,60,0.11752697465436217,0.09535998740852988,0.022166987245832284
15,1992-04-01,2007-03-31,60,0.10849754796532966,0.09286531455869855,0.015632233406631113
15,1992-07-01,2007-06-30,60,0.11284554053542432,0.09657432726113742,0.016271213274286905
15,1992-10-01,2007-09-30,60,0.11657165087378112,0.09540402807461468,0.02116762279916644
15,1993-01-01,2007-12-31,60,0.10407893963589088,0.08777170875486033,0.016307230881030546
15,1993-04-01,2008-03-31,60,0.09342114248962582,0.07246307614435969,0.020958066345266133
15,1993-07-01,2008-06-30,60,0.057366200219206964,0.06578812175991379,-0.008421921540706825
15,1993-10-01,2008-09-30,60,0.051723104786289636,0.051730734599675685,-7.629813386048068e-06
15,1994-01-01,2008-12-31,60,0.004680286875552428,0.01740270207174193,-0.012722415196189503
15,1994-04-01,2009-03-31,60,-0.041307754686009404,-0.0006915126298735896,-0.040616242056135815
15,1994-07-01,2009-06-30,60,-0.025242090264132853,0.015459163680506122,-0.04070125394463897
15,1994-10-01,2009-09-30,60,-0.0016967335286533478,0.030606947197213255,-0.032303680725866604
15,1995-01-01,2009-12-31,60,-0.0036588282756890864,0.03464852875365521,-0.0383073570293443
15,1995-04-01,2010-03-31,60,0.005227267414790057,0.03769084699796891,-0.03246357958317885
15,1995-07-01,2010-06-30,60,-0.026663756787957398,0.019080801996885388,-0.045744558784842786
15,1995-10-01,2010-09-30,60,-0.01603067132830354,0.02993206419109486,-0.045962735519398404
15,1996-01-01,2010-12-31,60,5.99761053804726e-05,0.04011215305859734,-0.04005217695321687
15,1996-04-01,2011-03-31,60,0.008818070280081684,0.04472177862010198,-0.035903708340020296
15,1996-07-01,2011-06-30,60,0.0024388439392226667,0.042418297439729656,-0.03997945350050699
15,1996-10-01,2011-09-30,60,-0.017144219702830976,0.021263073646256844,-0.03840729334908782
15,1997-01-01,2011-12-31,60,0.00077704658030976,0.03331864102052521,-0.03254159444021545
15,1997-04-01,2012-03-31,60,0.012443881836485307,0.04612342227831363,-0.033679540441828325
15,1997-07-01,2012-06-30,60,0.0112079931812992,0.04060442921165665,-0.029396436030357447
15,1997-10-01,2012-09-30,60,0.018995248763965286,0.046718545892152255,-0.02772329712818697
15,1998-01-01,2012-12-31,60,0.008465070345906683,0.04483877529126245,-0.036373704945355766
15,1998-04-01,2013-03-31,60,0.014564383573963755,0.05591787278665587,-0.04135348921269212
15,1998-07-01,2013-06-30,60,0.018625160106669637,0.05830337543948286,-0.039678215332813224
15,1998-10-01,2013-09-30,60,0.018035101444252178,0.06342641634036739,-0.04539131489611521
15,1999-01-01,2013-12-31,60,0.0370701674617983,0.07394882334936097,-0.036878655887562665
15,1999-04-01,2014-03-31,60,0.033671662661137254,0.075033962584264,-0.04136229992312674
15,1999-07-01,2014-06-30,60,0.039960854072089325,0.08014079451728917,-0.04017994044519985
15,1999-10-01,2014-09-30,60,0.039063113225497575,0.08053055634247064,-0.04146744311697306
15,2000-01-01,2014-12-31,60,0.04012957058927859,0.08517864754938627,-0.04504907696010768
15,2000-04-01,2015-03-31,60,0.03749414116164272,0.08547167375696517,-0.04797753259532245
15,2000-07-01,2015-06-30,60,0.040436963289743465,0.08497269114506707,-0.04453572785532361
15,2000-10-01,2015-09-30,60,0.030301949429294858,0.07608906617219471,-0.045787116742899855
15,2001-01-01,2015-12-31,60,0.042333007247860356,0.08334661801606341,-0.041013610768203056
15,2001-04-01,2016-03-31,60,0.04818637436041067,0.08384650120748062,-0.03566012684706995
15,2001-07-01,2016-06-30,60,0.04951095731984803,0.0853208330364493,-0.03580987571660127
15,2001-10-01,2016-09-30,60,0.051690751356682996,0.0884735998524573,-0.036782848495774303
15,2002-01-01,2016-12-31,60,0.05732618552119065,0.0911230771510938,-0.03379689162990315
15,2002-04-01,2017-03-31,60,0.06126929878325883,0.09655879755178322,-0.035289498768524385
15,2002-07-01,2017-06-30,60,0.05993474876754134,0.0985250418339226,-0.038590293066381266
15,2002-10-01,2017-09-30,60,0.05989708052126366,0.1015215086533616,-0.041624428132097935
15,2003-01-01,2017-12-31,60,0.06334615123899344,0.1064055495427483,-0.04305939830375487
15,2003-04-01,2018-03-31,60,0.0513731039261829,0.1029474939829468,-0.0515743900567639
15,2003-07-01,2018-06-30,60,0.057165666645746495,0.10418662735066063,-0.047020960704914135
15,2003-10-01,2018-09-30,60,0.07195511886595263,0.1105193678242808,-0.038564248958328176
15,2004-01-01,2018-12-31,60,0.03527209406623647,0.09108766303070286,-0.055815568964466385
15,2004-04-01,2019-03-31,60,0.0597189338027003,0.10423676822295065,-0.044517834420250355
15,2004-07-01,2019-06-30,60,0.062081215384652756,0.10713404215853502,-0.04505282677388226
15,2004-10-01,2019-09-30,60,0.06875502972540838,0.1069702215119006,-0.038215191786492214
15,2005-01-01,2019-12-31,60,0.09177473772781065,0.11495781354042618,-0.023183075812615528
15,2005-04-01,2020-03-31,60,0.06377766167049984,0.08728112723993015,-0.02350346556943031
15,2005-07-01,2020-06-30,60,0.10311650826885081,0.10738774264647498,-0.004271234377624167
15,2005-10-01,2020-09-30,60,0.12296400498730488,0.11525307558823848,0.007710929399066396
15,2006-01-01,2020-12-31,60,0.13939006095577774,0.12643304740675945,0.012957013549018292
15,2006-04-01,2021-03-31,60,0.13705034187159398,0.13125850301794434,0.005791838853649645
15,2006-07-01,2021-06-30,60,0.1505407558546754,0.13860552482541746,0.011935231029257948
15,2006-10-01,2021-09-30,60,0.15273565816071374,0.13701397519199535,0.015721682968718398
15,2007-01-01,2021-12-31,60,0.17588578609630126,0.14685571479798837,0.029030071298312893
15,2007-04-01,2022-03-31,60,0.17784733418142612,0.13947612396028797,0.03837121022113815
15,2007-07-01,2022-06-30,60,0.1548791833679824,0.11715942100864618,0.03771976235933622
15,2007-10-01,2022-09-30,60,0.15556741225726364,0.10947494705677183,0.04609246520049182
15,2008-01-01,2022-12-31,60,0.1546134920237746,0.11622643280477173,0.038387059219002886
15,2008-04-01,2023-03-31,60,0.17666518136678103,0.1227431855499019,0.05392199581687912
15,2008-07-01,2023-06-30,60,0.19207413948654653,0.13026386230637352,0.06181027718017301
15,2008-10-01,2023-09-30,60,0.18113560049355107,0.12392822870978645,0.057207371783764616
15,2009-01-01,2023-12-31,60,0.19062804457949517,0.1338509735884733,0.05677707099102186
15,2009-04-01,2024-03-31,60,0.18205945520470188,0.14143656294756402,0.04062289225713786
15,2009-07-01,2024-06-30,60,0.20119759485000568,0.1415964307046454,0.05960116414536029
15,2009-10-01,2024-09-30,60,0.21036417161989632,0.14394541837443622,0.0664187532454601
15,2010-01-01,2024-12-31,60,0.2162210080397498,0.1428266054758117,0.07339440256393812
15,2010-04-01,2025-03-31,60,0.2040029304508398,0.13426446817112728,0.06973846227971253
15,2010-07-01,2025-06-30,60,0.196987317006822,0.14276787476522895,0.05421944224159306
15,2010-10-01,2025-09-30,60,0.2183408326039412,0.14748573494067965,0.07085509766326153
15,2011-01-01,2025-12-31,60,0.2241827402785868,0.14659898371025298,0.07758375656833383
20,1975-01-01,1994-12-31,80,0.10382059281968857,0.1372638056054136,-0.03344321278572503
20,1975-04-01,1995-03-31,80,0.10372961336686809,0.14179738111251564,-0.038067767745647546
20,1975-07-01,1995-06-30,80,0.11260279263558792,0.14663015740966004,-0.034027364774072116
20,1975-10-01,1995-09-30,80,0.12053411900843433,0.15052891791177178,-0.02999479890333745
20,1976-01-01,1995-12-31,80,0.12270559948522008,0.15255386954671843,-0.029848270061498344
20,1976-04-01,1996-03-31,80,0.12216086039501733,0.1542768494756571,-0.032115989080639756
20,1976-07-01,1996-06-30,80,0.1189990430568907,0.15558668592225744,-0.03658764286536674
20,1976-10-01,1996-09-30,80,0.12046315594201225,0.15576783486849052,-0.035304678926478275
20,1977-01-01,1996-12-31,80,0.12984032854560928,0.15989721851345046,-0.03005688996784117
20,1977-04-01,1997-03-31,80,0.12729095576199592,0.15981016830562608,-0.03251921254363016
