year,period,rank,company,value_musd,ref_url,table_note,wiki_revision
2023,Q3,4,Amazon,1312000.0,,This list is up to date as of 31 December 2023. Indicated changes in market value are relative to the previous quarter.,1371146339
2023,Q4,4,Amazon,1570000.0,,This list is up to date as of 31 December 2023. Indicated changes in market value are relative to the previous quarter.,1371146339
2023,Q1,5,Nvidia,686090.0,,This list is up to date as of 31 December 2023. Indicated changes in market value are relative to the previous quarter.,1371146339
2023,Q2,5,Nvidia,1044000.0,,This list is up to date as of 31 December 2023. Indicated changes in market value are relative to the previous quarter.,1371146339
2023,Q3,5,Nvidia,1074000.0,,This list is up to date as of 31 December 2023. Indicated changes in market value are relative to the previous quarter.,1371146339
2023,Q4,5,Nvidia,1223000.0,,This list is up to date as of 31 December 2023. Indicated changes in market value are relative to the previous quarter.,1371146339
2023,Q1,6,Berkshire Hathaway,677770.0,,This list is up to date as of 31 December 2023. Indicated changes in market value are relative to the previous quarter.,1371146339
2023,Q2,6,Tesla,829670.0,,This list is up to date as of 31 December 2023. Indicated changes in market value are relative to the previous quarter.,1371146339
2023,Q3,6,Tesla,794200.0,,This list is up to date as of 31 December 2023. Indicated changes in market value are relative to the previous quarter.,1371146339
2023,Q4,6,Meta,909000.0,,This list is up to date as of 31 December 2023. Indicated changes in market value are relative to the previous quarter.,1371146339
2023,Q1,7,Tesla,656420.0,,This list is up to date as of 31 December 2023. Indicated changes in market value are relative to the previous quarter.,1371146339
2023,Q2,7,Berkshire Hathaway,745010.0,,This list is up to date as of 31 December 2023. Indicated changes in market value are relative to the previous quarter.,1371146339
2023,Q3,7,Meta,772490.0,,This list is up to date as of 31 December 2023. Indicated changes in market value are relative to the previous quarter.,1371146339
2023,Q4,7,Tesla,789930.0,,This list is up to date as of 31 December 2023. Indicated changes in market value are relative to the previous quarter.,1371146339
2023,Q1,8,Meta,549480.0,,This list is up to date as of 31 December 2023. Indicated changes in market value are relative to the previous quarter.,1371146339
2023,Q2,8,Meta,735450.0,,This list is up to date as of 31 December 2023. Indicated changes in market value are relative to the previous quarter.,1371146339
2023,Q3,8,Berkshire Hathaway,769260.0,,This list is up to date as of 31 December 2023. Indicated changes in market value are relative to the previous quarter.,1371146339
2023,Q4,8,Berkshire Hathaway,783550.0,,This list is up to date as of 31 December 2023. Indicated changes in market value are relative to the previous quarter.,1371146339
2023,Q1,9,TSMC,482410.0,,This list is up to date as of 31 December 2023. Indicated changes in market value are relative to the previous quarter.,1371146339
2023,Q2,9,TSMC,523410.0,,This list is up to date as of 31 December 2023. Indicated changes in market value are relative to the previous quarter.,1371146339
2023,Q3,9,Eli Lilly,509890.0,,This list is up to date as of 31 December 2023. Indicated changes in market value are relative to the previous quarter.,1371146339
2023,Q4,9,Eli Lilly,553370.0,,This list is up to date as of 31 December 2023. Indicated changes in market value are relative to the previous quarter.,1371146339
2023,Q1,10,Visa,473870.0,,This list is up to date as of 31 December 2023. Indicated changes in market value are relative to the previous quarter.,1371146339
2023,Q2,10,Visa,497370.0,,This list is up to date as of 31 December 2023. Indicated changes in market value are relative to the previous quarter.,1371146339
2023,Q3,10,Visa,480990.0,,This list is up to date as of 31 December 2023. Indicated changes in market value are relative to the previous quarter.,1371146339
2023,Q4,10,TSMC,539390.0,,This list is up to date as of 31 December 2023. Indicated changes in market value are relative to the previous quarter.,1371146339
2022,Q1,1,Apple,2850000.0,,This list is as of 31 December 2022. Indicated changes in market value are relative to the previous quarter.,1371146339
2022,Q2,1,Apple,2212000.0,,This list is as of 31 December 2022. Indicated changes in market value are relative to the previous quarter.,1371146339
2022,Q3,1,Apple,2221000.0,,This list is as of 31 December 2022. Indicated changes in market value are relative to the previous quarter.,1371146339
2022,Q4,1,Apple,2066000.0,,This list is as of 31 December 2022. Indicated changes in market value are relative to the previous quarter.,1371146339
2022,Q1,2,Microsoft,2311000.0,,This list is as of 31 December 2022. Indicated changes in market value are relative to the previous quarter.,1371146339
