scenario,leg,periods,first_period,last_period,twr_annualized,volatility,sharpe,downside_deviation,sortino,max_drawdown,max_dd_peak,max_dd_trough,max_dd_recovery,underwater_days,family
taxed_trailing_stop_25_1995,stock,372,1995-01-31,2025-12-31,0.1259278554779814,0.1703370710012036,0.6478648203972686,0.1050916614786984,1.047683758748978,-0.5641398341488736,2000-08-28,2002-10-09,2013-02-19,4558,tax_drag
taxed_trailing_stop_25_1995,index,372,1995-01-31,2025-12-31,0.111419939859098,0.1507442604920103,0.624713535776678,0.1019208770364347,0.9233790851761376,-0.5525024106682106,2007-10-09,2009-03-09,2012-04-02,1637,tax_drag
taxed_trailing_stop_25_1995,combined,372,1995-01-31,2025-12-31,0.1194975965669047,0.1578945579981106,0.6498028249864002,0.1020998610214644,1.0032021351608835,-0.5404420537958288,2007-10-09,2009-03-09,2012-09-06,1794,tax_drag
taxed_buy_the_dip_25_50_1995,stock,372,1995-01-31,2025-12-31,0.1213540664585199,0.2139814797747185,0.5361182355860707,0.1358975173894669,0.8427037760672926,-0.7676297433566477,2000-08-28,2009-03-05,2015-11-11,5553,tax_drag
taxed_buy_the_dip_25_50_1995,index,372,1995-01-31,2025-12-31,0.111419939859098,0.1507442604920103,0.624713535776678,0.1019208770364347,0.9233790851761376,-0.5525024106682106,2007-10-09,2009-03-09,2012-04-02,1637,tax_drag
taxed_buy_the_dip_25_50_1995,combined,372,1995-01-31,2025-12-31,0.1163244351681449,0.1824766694626017,0.5697964630149597,0.1186384824594223,0.8750232426384964,-0.6886510125398098,2000-08-28,2009-03-05,2013-11-06,4818,tax_drag
taxed_high_baseline_hold_1975,stock,612,1975-01-31,2025-12-31,0.1028756337303056,0.1621959342495484,0.4298210481735633,0.1027430569905597,0.6782343814151315,-0.5692169995526584,1999-07-16,2002-10-09,2007-07-25,2931,tax_drag
taxed_high_baseline_hold_1975,index,612,1975-01-31,2025-12-31,0.1245571008788348,0.1506246382117236,0.5817902271171339,0.1003563461322549,0.8741711611185915,-0.55250241066821,2007-10-09,2009-03-09,2012-04-02,1637,tax_drag
taxed_high_baseline_hold_1975,combined,612,1975-01-31,2025-12-31,0.1157059499805959,0.1435698892833427,0.5474959969853875,0.0939350562537322,0.837297740550053,-0.4961568164887503,2000-04-07,2002-10-09,2007-01-24,2483,tax_drag
taxed_high_trailing_stop_25_1975,stock,612,1975-01-31,2025-12-31,0.1169844203769747,0.1437227760557309,0.5545631038301405,0.0949558620661895,0.8407345754018599,-0.5298377791028432,2007-10-09,2009-03-09,2012-09-06,1794,tax_drag
taxed_high_trailing_stop_25_1975,index,612,1975-01-31,2025-12-31,0.1245571008788348,0.1506246382117236,0.5817902271171339,0.1003563461322549,0.8741711611185915,-0.55250241066821,2007-10-09,2009-03-09,2012-04-02,1637,tax_drag
